sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
0.2149;0.6512;9.4218;0.0;;;;NaN;;;;0 / 0;28006;2018-04-04 20:27:50:572
-0.6692;0.7667;8.746;0.0;;;;NaN;;;;0 / 0;28506;2018-04-04 20:27:51:072
0.0766;0.4513;9.8174;0.0;;;;NaN;;;;0 / 0;29007;2018-04-04 20:27:51:573
-0.3891;1.5473;8.9519;0.0;;;;NaN;;;;0 / 0;29507;2018-04-04 20:27:52:073
-1.567;2.2206;8.2582;0.0;;;;NaN;;;;0 / 0;30007;2018-04-04 20:27:52:573
0.0425;0.3142;9.6037;0.0;;;;NaN;;;;0 / 0;30506;2018-04-04 20:27:53:072
-0.2693;0.0521;9.7707;0.0;;;;NaN;;;;0 / 0;31007;2018-04-04 20:27:53:573
0.0952;0.2999;9.7001;0.0;;;;NaN;;;;0 / 0;31506;2018-04-04 20:27:54:072
0.6859;0.9182;10.334;0.0;;;;NaN;;;;0 / 0;32006;2018-04-04 20:27:54:572
0.1149;0.4088;9.8378;0.0;;;;NaN;;;;0 / 0;32506;2018-04-04 20:27:55:072
-0.1718;0.5537;9.5152;0.0;;;;NaN;;;;0 / 0;33006;2018-04-04 20:27:55:572
-0.337;0.6422;9.5355;0.0;;;;NaN;;;;0 / 0;33506;2018-04-04 20:27:56:072
0.0126;0.0587;9.9443;0.0;;;;NaN;;;;0 / 0;34007;2018-04-04 20:27:56:573
0.2514;0.316;9.9665;0.0;;;;NaN;;;;0 / 0;34506;2018-04-04 20:27:57:072
-0.079;0.4663;9.5343;0.0;;;;NaN;;;;0 / 0;35006;2018-04-04 20:27:57:572
0.4052;0.8116;9.5086;0.0;;;;NaN;;;;0 / 0;35507;2018-04-04 20:27:58:073
-0.0982;0.2604;9.7558;0.0;;;;NaN;;;;0 / 0;36007;2018-04-04 20:27:58:573
0.2921;0.5118;9.9754;0.0;;;;NaN;;;;0 / 0;36507;2018-04-04 20:27:59:073
-0.1059;0.8655;9.481;0.0;;;;NaN;;;;0 / 0;37007;2018-04-04 20:27:59:573
-1.0092;-1.0157;9.505;0.0;;;;NaN;;;;0 / 0;37507;2018-04-04 20:28:00:073
-2.8395;-2.976;9.0375;0.0;;;;NaN;;;;0 / 0;38006;2018-04-04 20:28:00:572
2.2045;0.5495;9.8904;0.0;;;;NaN;;;;0 / 0;38506;2018-04-04 20:28:01:072
1.1768;0.1832;4.276;0.0;;;;NaN;;;;0 / 0;39006;2018-04-04 20:28:01:572
0.161;0.1341;9.8629;0.0;;;;NaN;;;;0 / 0;39506;2018-04-04 20:28:02:072
0.0664;0.6147;9.6887;0.0;;;;NaN;;;;0 / 0;40006;2018-04-04 20:28:02:572
-0.0491;0.4609;9.5738;0.0;;;;NaN;;;;0 / 0;40506;2018-04-04 20:28:03:072
0.5806;0.2215;10.559;0.0;;;;NaN;;;;0 / 0;41006;2018-04-04 20:28:03:572
-0.0485;0.899;9.3793;0.0;;;;NaN;;;;0 / 0;41507;2018-04-04 20:28:04:073
0.015;0.3352;9.5786;0.0;;;;NaN;;;;0 / 0;42006;2018-04-04 20:28:04:572
-0.006;0.4148;9.5547;0.0;;;;NaN;;;;0 / 0;42506;2018-04-04 20:28:05:072
0.0838;0.5944;9.584;0.0;;;;NaN;;;;0 / 0;43006;2018-04-04 20:28:05:572
0.1413;0.7919;9.7324;0.0;;;;NaN;;;;0 / 0;43507;2018-04-04 20:28:06:073
