sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.182;0.504;9.8958;0.0;;;;NaN;;;;0 / 0;378006;2018-04-04 20:33:40:572
-0.0198;0.5213;9.7486;0.0;;;;NaN;;;;0 / 0;378506;2018-04-04 20:33:41:072
1.2091;-0.2514;9.9964;0.0;;;;NaN;;;;0 / 0;379006;2018-04-04 20:33:41:572
-0.0389;0.3531;9.8557;0.0;;;;NaN;;;;0 / 0;379506;2018-04-04 20:33:42:072
0.0569;0.5417;9.6349;0.0;;;;NaN;;;;0 / 0;380006;2018-04-04 20:33:42:572
0.5315;0.4046;10.243;0.0;;;;NaN;;;;0 / 0;380509;2018-04-04 20:33:43:075
-0.4806;0.1891;9.3009;0.0;;;;NaN;;;;0 / 0;381007;2018-04-04 20:33:43:573
0.495;0.1329;9.6923;0.0;;;;NaN;;;;0 / 0;381506;2018-04-04 20:33:44:072
-0.4178;0.395;10.6991;0.0;;;;NaN;;;;0 / 0;382006;2018-04-04 20:33:44:572
0.1083;0.5638;9.9623;0.0;;;;NaN;;;;0 / 0;382506;2018-04-04 20:33:45:072
1.2773;2.2009;8.4916;0.0;;;;NaN;;;;0 / 0;383007;2018-04-04 20:33:45:573
-1.3521;-0.8499;9.1213;0.0;;;;NaN;;;;0 / 0;383506;2018-04-04 20:33:46:072
0.1041;0.2023;9.8875;0.0;;;;NaN;;;;0 / 0;384006;2018-04-04 20:33:46:572
-0.1209;-1.3916;11.0361;0.0;;;;NaN;;;;0 / 0;384506;2018-04-04 20:33:47:072
-0.4226;-0.6147;10.3286;0.0;;;;NaN;;;;0 / 0;385006;2018-04-04 20:33:47:572
-0.0652;-0.3849;9.7528;0.0;;;;NaN;;;;0 / 0;385506;2018-04-04 20:33:48:072
0.3669;0.334;9.7288;0.0;;;;NaN;;;;0 / 0;386006;2018-04-04 20:33:48:572
0.24;0.1664;9.924;0.0;;;;NaN;;;;0 / 0;386506;2018-04-04 20:33:49:072
0.0162;0.4747;9.56;0.0;;;;NaN;;;;0 / 0;387006;2018-04-04 20:33:49:572
0.1945;0.6566;9.2296;0.0;;;;NaN;;;;0 / 0;387507;2018-04-04 20:33:50:073
0.3932;1.2133;9.5523;0.0;;;;NaN;;;;0 / 0;388007;2018-04-04 20:33:50:573
0.3645;0.3244;9.7552;0.0;;;;NaN;;;;0 / 0;388506;2018-04-04 20:33:51:072
0.0832;0.3657;9.5583;0.0;;;;NaN;;;;0 / 0;389006;2018-04-04 20:33:51:572
0.0766;-0.076;9.7689;0.0;;;;NaN;;;;0 / 0;389506;2018-04-04 20:33:52:072
0.349;0.7955;9.727;0.0;;;;NaN;;;;0 / 0;390006;2018-04-04 20:33:52:572
0.316;0.4052;9.5756;0.0;;;;NaN;;;;0 / 0;390506;2018-04-04 20:33:53:072
0.3029;1.1229;9.5223;0.0;;;;NaN;;;;0 / 0;391007;2018-04-04 20:33:53:573
0.4717;0.6458;10.5345;0.0;;;;NaN;;;;0 / 0;391506;2018-04-04 20:33:54:072
0.4758;0.6548;9.4792;0.0;;;;NaN;;;;0 / 0;392006;2018-04-04 20:33:54:572
-0.4274;-0.2903;9.2279;0.0;;;;NaN;;;;0 / 0;392506;2018-04-04 20:33:55:072
0.9756;0.4034;10.8721;0.0;;;;NaN;;;;0 / 0;393007;2018-04-04 20:33:55:573
0.4375;1.2653;10.0969;0.0;;;;NaN;;;;0 / 0;393507;2018-04-04 20:33:56:073
1.0181;0.3855;9.8312;0.0;;;;NaN;;;;0 / 0;394006;2018-04-04 20:33:56:572
-0.1873;1.3336;9.845;0.0;;;;NaN;;;;0 / 0;394506;2018-04-04 20:33:57:072
0.1867;0.6273;9.5732;0.0;;;;NaN;;;;0 / 0;395006;2018-04-04 20:33:57:572
-0.6075;-0.404;10.2232;0.0;;;;NaN;;;;0 / 0;395506;2018-04-04 20:33:58:072
0.4339;0.4968;9.5014;0.0;;;;NaN;;;;0 / 0;396006;2018-04-04 20:33:58:572
-0.6297;-0.1251;9.8593;0.0;;;;NaN;;;;0 / 0;396507;2018-04-04 20:33:59:073
0.8685;0.832;9.5415;0.0;;;;NaN;;;;0 / 0;397007;2018-04-04 20:33:59:573
0.4453;0.7841;9.4798;0.0;;;;NaN;;;;0 / 0;397506;2018-04-04 20:34:00:072
0.5471;0.8547;9.8803;0.0;;;;NaN;;;;0 / 0;398006;2018-04-04 20:34:00:572
0.4357;0.6716;9.414;0.0;;;;NaN;;;;0 / 0;398507;2018-04-04 20:34:01:073
0.3095;-0.0694;9.6486;0.0;;;;NaN;;;;0 / 0;399006;2018-04-04 20:34:01:572
0.2041;0.3334;9.6259;0.0;;;;NaN;;;;0 / 0;399506;2018-04-04 20:34:02:072
-0.0281;0.595;9.9629;0.0;;;;NaN;;;;0 / 0;400007;2018-04-04 20:34:02:573
0.8805;0.6129;9.7258;0.0;;;;NaN;;;;0 / 0;400506;2018-04-04 20:34:03:072
0.9649;0.9786;9.4589;0.0;;;;NaN;;;;0 / 0;401007;2018-04-04 20:34:03:573
0.51;0.328;9.6756;0.0;;;;NaN;;;;0 / 0;401506;2018-04-04 20:34:04:072
0.1383;0.0832;9.6325;0.0;;;;NaN;;;;0 / 0;402006;2018-04-04 20:34:04:572
0.8577;-0.2568;9.505;0.0;;;;NaN;;;;0 / 0;402507;2018-04-04 20:34:05:073
0.4471;0.5189;9.6636;0.0;;;;NaN;;;;0 / 0;403006;2018-04-04 20:34:05:572
0.9595;0.5112;9.8294;0.0;;;;NaN;;;;0 / 0;403507;2018-04-04 20:34:06:073
0.8158;0.8158;9.6175;0.0;;;;NaN;;;;0 / 0;404007;2018-04-04 20:34:06:573
0.5854;0.5225;9.4008;0.0;;;;NaN;;;;0 / 0;404506;2018-04-04 20:34:07:072
0.346;0.2269;9.8282;0.0;;;;NaN;;;;0 / 0;405007;2018-04-04 20:34:07:573
0.1287;0.3011;9.7318;0.0;;;;NaN;;;;0 / 0;405507;2018-04-04 20:34:08:073
0.5064;0.5531;9.5277;0.0;;;;NaN;;;;0 / 0;406006;2018-04-04 20:34:08:572
0.3358;0.6393;9.5888;0.0;;;;NaN;;;;0 / 0;406506;2018-04-04 20:34:09:072
0.4896;0.7817;9.7582;0.0;;;;NaN;;;;0 / 0;407007;2018-04-04 20:34:09:573
0.5195;0.7841;9.5906;0.0;;;;NaN;;;;0 / 0;407506;2018-04-04 20:34:10:072
0.5872;0.3304;9.6462;0.0;;;;NaN;;;;0 / 0;408006;2018-04-04 20:34:10:572
0.2478;0.7027;8.9585;0.0;;;;NaN;;;;0 / 0;408506;2018-04-04 20:34:11:072
0.6901;0.48;9.642;0.0;;;;NaN;;;;0 / 0;409007;2018-04-04 20:34:11:573
0.3717;0.7093;9.6055;0.0;;;;NaN;;;;0 / 0;409507;2018-04-04 20:34:12:073
0.6853;1.136;9.3996;0.0;;;;NaN;;;;0 / 0;410006;2018-04-04 20:34:12:572
1.5101;2.5708;9.651;0.0;;;;NaN;;;;0 / 0;410507;2018-04-04 20:34:13:073
0.3729;0.8888;9.8893;0.0;;;;NaN;;;;0 / 0;411007;2018-04-04 20:34:13:573
0.3729;0.3962;9.8067;0.0;;;;NaN;;;;0 / 0;411506;2018-04-04 20:34:14:072
0.4441;-0.2257;9.4224;0.0;;;;NaN;;;;0 / 0;412007;2018-04-04 20:34:14:573
0.5991;-0.0676;9.5714;0.0;;;;NaN;;;;0 / 0;412506;2018-04-04 20:34:15:072
0.5848;1.3342;9.6097;0.0;;;;NaN;;;;0 / 0;413006;2018-04-04 20:34:15:572
0.729;0.3029;9.5978;0.0;;;;NaN;;;;0 / 0;413506;2018-04-04 20:34:16:072
0.9218;1.0756;9.8384;0.0;;;;NaN;;;;0 / 0;414007;2018-04-04 20:34:16:573
0.6542;0.5722;9.5804;0.0;;;;NaN;;;;0 / 0;414506;2018-04-04 20:34:17:072
-0.1909;-0.4603;9.2686;0.0;;;;NaN;;;;0 / 0;415006;2018-04-04 20:34:17:572
-0.1939;-0.7602;9.6193;0.0;;;;NaN;;;;0 / 0;415506;2018-04-04 20:34:18:072
1.1965;0.6865;10.0784;0.0;;;;NaN;;;;0 / 0;416006;2018-04-04 20:34:18:572
0.6171;0.0036;9.8246;0.0;;;;NaN;;;;0 / 0;416506;2018-04-04 20:34:19:072
1.4395;0.6853;9.5217;0.0;;;;NaN;;;;0 / 0;417006;2018-04-04 20:34:19:572
0.9738;0.7542;9.6145;0.0;;;;NaN;;;;0 / 0;417506;2018-04-04 20:34:20:072
0.0676;0.1544;9.4888;0.0;;;;NaN;;;;0 / 0;418006;2018-04-04 20:34:20:572
0.835;0.4429;9.6097;0.0;;;;NaN;;;;0 / 0;418506;2018-04-04 20:34:21:072
0.8009;0.2167;9.7881;0.0;;;;NaN;;;;0 / 0;419006;2018-04-04 20:34:21:572
1.1714;0.2143;9.5271;0.0;;;;NaN;;;;0 / 0;419506;2018-04-04 20:34:22:072
0.477;-0.2113;9.6181;0.0;;;;NaN;;;;0 / 0;420006;2018-04-04 20:34:22:572
0.7769;-0.018;10.1029;0.0;;;;NaN;;;;0 / 0;420507;2018-04-04 20:34:23:073
0.6632;0.3531;9.6151;0.0;;;;NaN;;;;0 / 0;421007;2018-04-04 20:34:23:573
0.7661;0.0634;9.2428;0.0;;;;NaN;;;;0 / 0;421506;2018-04-04 20:34:24:072
1.4072;0.4351;9.56;0.0;;;;NaN;;;;0 / 0;422006;2018-04-04 20:34:24:572
0.3454;0.4351;9.7103;0.0;;;;NaN;;;;0 / 0;422508;2018-04-04 20:34:25:074
0.5381;1.1193;9.5181;0.0;;;;NaN;;;;0 / 0;423006;2018-04-04 20:34:25:572
1.2498;0.5261;9.5834;0.0;;;;NaN;;;;0 / 0;423506;2018-04-04 20:34:26:072
-0.6021;0.2711;9.4044;0.0;;;;NaN;;;;0 / 0;424006;2018-04-04 20:34:26:572
0.6847;0.1305;9.7893;0.0;;;;NaN;;;;0 / 0;424506;2018-04-04 20:34:27:072
0.8601;-0.1347;9.815;0.0;;;;NaN;;;;0 / 0;425006;2018-04-04 20:34:27:572
0.981;0.1568;9.663;0.0;;;;NaN;;;;0 / 0;425506;2018-04-04 20:34:28:072
0.9667;0.2777;9.839;0.0;;;;NaN;;;;0 / 0;426006;2018-04-04 20:34:28:572
0.662;0.1736;9.3416;0.0;;;;NaN;;;;0 / 0;426506;2018-04-04 20:34:29:072
1.3126;-0.3406;9.9814;0.0;;;;NaN;;;;0 / 0;427006;2018-04-04 20:34:29:572
0.2496;0.1466;9.9066;0.0;;;;NaN;;;;0 / 0;427506;2018-04-04 20:34:30:072
0.6363;0.0168;9.6151;0.0;;;;NaN;;;;0 / 0;428007;2018-04-04 20:34:30:573
0.1652;0.267;9.2913;0.0;;;;NaN;;;;0 / 0;428507;2018-04-04 20:34:31:073
0.5279;0.1113;9.9018;0.0;;;;NaN;;;;0 / 0;429006;2018-04-04 20:34:31:572
0.5944;0.4118;9.6983;0.0;;;;NaN;;;;0 / 0;429506;2018-04-04 20:34:32:072
0.4621;0.5692;9.5523;0.0;;;;NaN;;;;0 / 0;430006;2018-04-04 20:34:32:572
0.8733;0.8745;10.9373;0.0;;;;NaN;;;;0 / 0;430507;2018-04-04 20:34:33:073
0.185;0.3597;9.988;0.0;;;;NaN;;;;0 / 0;431007;2018-04-04 20:34:33:573
1.1696;-0.0449;9.5936;0.0;;;;NaN;;;;0 / 0;431506;2018-04-04 20:34:34:072
0.1891;0.0186;9.9611;0.0;;;;NaN;;;;0 / 0;432007;2018-04-04 20:34:34:573
0.2496;0.7266;9.7091;0.0;;;;NaN;;;;0 / 0;432507;2018-04-04 20:34:35:073
-0.0473;1.4018;9.0112;0.0;;;;NaN;;;;0 / 0;433006;2018-04-04 20:34:35:572
0.8847;0.9301;9.5774;0.0;;;;NaN;;;;0 / 0;433507;2018-04-04 20:34:36:073
0.1317;0.1963;9.9521;0.0;;;;NaN;;;;0 / 0;434007;2018-04-04 20:34:36:573
0.6662;0.6835;9.6863;0.0;;;;NaN;;;;0 / 0;434506;2018-04-04 20:34:37:072
0.4818;0.7632;9.6205;0.0;;;;NaN;;;;0 / 0;435007;2018-04-04 20:34:37:573
0.9673;0.4513;9.3673;0.0;;;;NaN;;;;0 / 0;435507;2018-04-04 20:34:38:073
0.4842;0.4992;9.6349;0.0;;;;NaN;;;;0 / 0;436006;2018-04-04 20:34:38:572
0.6135;1.0876;9.6762;0.0;;;;NaN;;;;0 / 0;436506;2018-04-04 20:34:39:072
0.4663;0.9116;9.6612;0.0;;;;NaN;;;;0 / 0;437007;2018-04-04 20:34:39:573
0.5674;0.5303;9.7306;0.0;;;;NaN;;;;0 / 0;437506;2018-04-04 20:34:40:072
0.4567;0.5285;9.7276;0.0;;;;NaN;;;;0 / 0;438006;2018-04-04 20:34:40:572
0.5447;0.5106;9.6259;0.0;;;;NaN;;;;0 / 0;438506;2018-04-04 20:34:41:072
0.4621;0.416;9.6516;0.0;;;;NaN;;;;0 / 0;439006;2018-04-04 20:34:41:572
0.6584;0.7913;9.651;0.0;;;;NaN;;;;0 / 0;439506;2018-04-04 20:34:42:072
0.6045;0.5932;9.5014;0.0;;;;NaN;;;;0 / 0;440008;2018-04-04 20:34:42:574
0.2167;0.9248;10.1873;0.0;;;;NaN;;;;0 / 0;440506;2018-04-04 20:34:43:072
0.2981;0.3621;9.7588;0.0;;;;NaN;;;;0 / 0;441006;2018-04-04 20:34:43:572
0.5273;0.8236;9.6229;0.0;;;;NaN;;;;0 / 0;441507;2018-04-04 20:34:44:073
0.6632;0.5046;9.3643;0.0;;;;NaN;;;;0 / 0;442006;2018-04-04 20:34:44:572
0.2077;0.7081;9.6624;0.0;;;;NaN;;;;0 / 0;442506;2018-04-04 20:34:45:072
0.513;0.826;9.9371;0.0;;;;NaN;;;;0 / 0;443006;2018-04-04 20:34:45:572
0.6291;0.7572;9.572;0.0;;;;NaN;;;;0 / 0;443507;2018-04-04 20:34:46:073
0.3932;0.738;9.599;0.0;;;;NaN;;;;0 / 0;444006;2018-04-04 20:34:46:572
0.9774;0.929;9.8785;0.0;;;;NaN;;;;0 / 0;444507;2018-04-04 20:34:47:073
0.5986;0.5632;9.6522;0.0;;;;NaN;;;;0 / 0;445006;2018-04-04 20:34:47:572
0.7596;0.5405;9.5984;0.0;;;;NaN;;;;0 / 0;445507;2018-04-04 20:34:48:073
0.583;0.7171;9.6373;0.0;;;;NaN;;;;0 / 0;446006;2018-04-04 20:34:48:572
0.5345;1.0852;9.5966;0.0;;;;NaN;;;;0 / 0;446507;2018-04-04 20:34:49:073
0.5764;0.735;9.6917;0.0;;;;NaN;;;;0 / 0;447007;2018-04-04 20:34:49:573
0.8888;0.9086;9.5732;0.0;;;;NaN;;;;0 / 0;447507;2018-04-04 20:34:50:073
0.091;0.8847;9.1997;0.0;;;;NaN;;;;0 / 0;448006;2018-04-04 20:34:50:572
0.413;0.8056;9.6845;0.0;;;;NaN;;;;0 / 0;448506;2018-04-04 20:34:51:072
0.7422;0.8218;9.5942;0.0;;;;NaN;;;;0 / 0;449006;2018-04-04 20:34:51:572
0.7961;0.8661;9.5792;0.0;;;;NaN;;;;0 / 0;449506;2018-04-04 20:34:52:072
0.2622;0.7943;9.666;0.0;;;;NaN;;;;0 / 0;450006;2018-04-04 20:34:52:572
0.65;0.7733;9.4649;0.0;;;;NaN;;;;0 / 0;450507;2018-04-04 20:34:53:073
0.6183;0.923;9.6486;0.0;;;;NaN;;;;0 / 0;451006;2018-04-04 20:34:53:572
0.5507;0.7997;9.8306;0.0;;;;NaN;;;;0 / 0;451507;2018-04-04 20:34:54:073
-0.1317;0.4495;9.7701;0.0;;;;NaN;;;;0 / 0;452006;2018-04-04 20:34:54:572
0.1407;0.5004;9.6828;0.0;;;;NaN;;;;0 / 0;452506;2018-04-04 20:34:55:072
0.3897;0.6782;9.8839;0.0;;;;NaN;;;;0 / 0;453006;2018-04-04 20:34:55:572
0.4088;0.9732;9.6935;0.0;;;;NaN;;;;0 / 0;453506;2018-04-04 20:34:56:072
0.1951;1.0163;9.6169;0.0;;;;NaN;;;;0 / 0;454006;2018-04-04 20:34:56:572
-0.1;1.0576;9.5954;0.0;;;;NaN;;;;0 / 0;454506;2018-04-04 20:34:57:072
0.4836;1.0259;9.6175;0.0;;;;NaN;;;;0 / 0;455007;2018-04-04 20:34:57:573
0.4543;0.5297;9.7061;0.0;;;;NaN;;;;0 / 0;455507;2018-04-04 20:34:58:073
0.1281;0.3202;9.6055;0.0;;;;NaN;;;;0 / 0;456006;2018-04-04 20:34:58:572
0.2197;0.5213;9.6929;0.0;;;;NaN;;;;0 / 0;456506;2018-04-04 20:34:59:072
0.3436;0.7566;9.5355;0.0;;;;NaN;;;;0 / 0;457007;2018-04-04 20:34:59:573
0.3693;1.0307;9.6109;0.0;;;;NaN;;;;0 / 0;457506;2018-04-04 20:35:00:072
0.3472;0.9206;9.6415;0.0;;;;NaN;;;;0 / 0;458007;2018-04-04 20:35:00:573
0.1873;0.5417;9.751;0.0;;;;NaN;;;;0 / 0;458506;2018-04-04 20:35:01:072
0.246;0.4034;9.8396;0.0;;;;NaN;;;;0 / 0;459006;2018-04-04 20:35:01:572
0.1401;0.416;9.5433;0.0;;;;NaN;;;;0 / 0;459506;2018-04-04 20:35:02:072
0.5237;0.8775;9.6415;0.0;;;;NaN;;;;0 / 0;460006;2018-04-04 20:35:02:572
0.6985;1.1714;9.754;0.0;;;;NaN;;;;0 / 0;460507;2018-04-04 20:35:03:073
0.3831;1.3497;9.5702;0.0;;;;NaN;;;;0 / 0;461006;2018-04-04 20:35:03:572
0.3543;0.4046;9.4655;0.0;;;;NaN;;;;0 / 0;461507;2018-04-04 20:35:04:073
0.1993;0.1921;9.7671;0.0;;;;NaN;;;;0 / 0;462007;2018-04-04 20:35:04:573
0.2179;0.3029;9.7767;0.0;;;;NaN;;;;0 / 0;462506;2018-04-04 20:35:05:072
0.6309;0.5656;9.5786;0.0;;;;NaN;;;;0 / 0;463008;2018-04-04 20:35:05:574
0.3903;0.404;9.6289;0.0;;;;NaN;;;;0 / 0;463506;2018-04-04 20:35:06:072
0.4298;0.7123;9.7223;0.0;;;;NaN;;;;0 / 0;464007;2018-04-04 20:35:06:573
0.647;0.756;9.6199;0.0;;;;NaN;;;;0 / 0;464507;2018-04-04 20:35:07:073
0.3717;0.1425;9.6486;0.0;;;;NaN;;;;0 / 0;465006;2018-04-04 20:35:07:572
0.0479;0.0784;9.6049;0.0;;;;NaN;;;;0 / 0;465506;2018-04-04 20:35:08:072
0.7123;0.6111;9.5846;0.0;;;;NaN;;;;0 / 0;466007;2018-04-04 20:35:08:573
0.5339;0.8326;9.5702;0.0;;;;NaN;;;;0 / 0;466506;2018-04-04 20:35:09:072
1.0816;0.3885;9.7085;0.0;;;;NaN;;;;0 / 0;467006;2018-04-04 20:35:09:572
0.9679;1.5826;9.575;0.0;;;;NaN;;;;0 / 0;467506;2018-04-04 20:35:10:072
0.6572;0.6812;9.7701;0.0;;;;NaN;;;;0 / 0;468007;2018-04-04 20:35:10:573
0.0826;0.3657;9.6415;0.0;;;;NaN;;;;0 / 0;468506;2018-04-04 20:35:11:072
0.1532;0.2484;9.5403;0.0;;;;NaN;;;;0 / 0;469007;2018-04-04 20:35:11:573
0.4148;0.5991;9.651;0.0;;;;NaN;;;;0 / 0;469507;2018-04-04 20:35:12:073
-0.0078;0.6865;10.3525;0.0;;;;NaN;;;;0 / 0;470007;2018-04-04 20:35:12:573
0.0024;0.7278;9.8096;0.0;;;;NaN;;;;0 / 0;470506;2018-04-04 20:35:13:072
0.1891;0.4968;9.8701;0.0;;;;NaN;;;;0 / 0;471006;2018-04-04 20:35:13:572
-0.2364;0.4549;9.7941;0.0;;;;NaN;;;;0 / 0;471507;2018-04-04 20:35:14:073
0.2682;0.7057;9.6666;0.0;;;;NaN;;;;0 / 0;472007;2018-04-04 20:35:14:573
0.258;0.8416;9.5301;0.0;;;;NaN;;;;0 / 0;472506;2018-04-04 20:35:15:072
0.0407;0.6746;9.7151;0.0;;;;NaN;;;;0 / 0;473006;2018-04-04 20:35:15:572
0.3226;0.6518;9.7881;0.0;;;;NaN;;;;0 / 0;473507;2018-04-04 20:35:16:073
0.2969;0.492;9.675;0.0;;;;NaN;;;;0 / 0;474007;2018-04-04 20:35:16:573
0.3998;0.3017;9.66;0.0;;;;NaN;;;;0 / 0;474506;2018-04-04 20:35:17:072
0.1945;0.8326;9.5044;0.0;;;;NaN;;;;0 / 0;475007;2018-04-04 20:35:17:573
0.498;0.3292;9.6486;0.0;;;;NaN;;;;0 / 0;475506;2018-04-04 20:35:18:072
0.1006;0.7111;9.7246;0.0;;;;NaN;;;;0 / 0;476006;2018-04-04 20:35:18:572
-0.3011;0.1293;9.8408;0.0;;;;NaN;;;;0 / 0;476506;2018-04-04 20:35:19:072
0.2586;0.4962;9.6367;0.0;;;;NaN;;;;0 / 0;477007;2018-04-04 20:35:19:573
0.5974;0.4669;9.8485;0.0;;;;NaN;;;;0 / 0;477506;2018-04-04 20:35:20:072
-0.0593;0.2035;9.6833;0.0;;;;NaN;;;;0 / 0;478006;2018-04-04 20:35:20:572
0.7763;0.4914;9.4834;0.0;;;;NaN;;;;0 / 0;478506;2018-04-04 20:35:21:072
0.4298;0.7452;9.5648;0.0;;;;NaN;;;;0 / 0;479006;2018-04-04 20:35:21:572
0.5519;0.2292;9.6313;0.0;;;;NaN;;;;0 / 0;479506;2018-04-04 20:35:22:072
0.6925;0.9427;9.7504;0.0;;;;NaN;;;;0 / 0;480006;2018-04-04 20:35:22:572
1.2019;1.7615;9.3182;0.0;;;;NaN;;;;0 / 0;480506;2018-04-04 20:35:23:072
0.6464;0.3292;9.6612;0.0;;;;NaN;;;;0 / 0;481006;2018-04-04 20:35:23:572
1.1355;0.9242;9.5074;0.0;;;;NaN;;;;0 / 0;481507;2018-04-04 20:35:24:073
0.6937;0.738;9.7181;0.0;;;;NaN;;;;0 / 0;482006;2018-04-04 20:35:24:572
0.8775;0.8326;9.4338;0.0;;;;NaN;;;;0 / 0;482507;2018-04-04 20:35:25:073
0.89;0.5997;9.6516;0.0;;;;NaN;;;;0 / 0;483006;2018-04-04 20:35:25:572
0.7201;1.1103;9.6397;0.0;;;;NaN;;;;0 / 0;483507;2018-04-04 20:35:26:073
0.8224;1.3425;9.5427;0.0;;;;NaN;;;;0 / 0;484006;2018-04-04 20:35:26:572
0.981;1.2989;9.6193;0.0;;;;NaN;;;;0 / 0;484506;2018-04-04 20:35:27:072
1.0505;0.3466;9.8186;0.0;;;;NaN;;;;0 / 0;485007;2018-04-04 20:35:27:573
0.6859;0.4262;9.7115;0.0;;;;NaN;;;;0 / 0;485506;2018-04-04 20:35:28:072
0.4178;0.9272;9.5469;0.0;;;;NaN;;;;0 / 0;486006;2018-04-04 20:35:28:572
0.9325;0.8835;9.5624;0.0;;;;NaN;;;;0 / 0;486507;2018-04-04 20:35:29:073
0.7955;0.9798;9.5547;0.0;;;;NaN;;;;0 / 0;487006;2018-04-04 20:35:29:572
0.7266;0.6752;9.4685;0.0;;;;NaN;;;;0 / 0;487507;2018-04-04 20:35:30:073
0.3998;0.7733;9.8922;0.0;;;;NaN;;;;0 / 0;488007;2018-04-04 20:35:30:573
0.1041;0.3915;9.8072;0.0;;;;NaN;;;;0 / 0;488506;2018-04-04 20:35:31:072
0.6027;-0.0497;9.2482;0.0;;;;NaN;;;;0 / 0;489006;2018-04-04 20:35:31:572
0.7308;0.5225;9.6738;0.0;;;;NaN;;;;0 / 0;489507;2018-04-04 20:35:32:073
0.9278;0.6895;9.5636;0.0;;;;NaN;;;;0 / 0;490006;2018-04-04 20:35:32:572
1.2366;1.342;9.5379;0.0;;;;NaN;;;;0 / 0;490506;2018-04-04 20:35:33:072
0.6722;1.1217;9.7312;0.0;;;;NaN;;;;0 / 0;491007;2018-04-04 20:35:33:573
0.0036;0.4573;9.6983;0.0;;;;NaN;;;;0 / 0;491508;2018-04-04 20:35:34:074
0.1119;0.4914;9.6624;0.0;;;;NaN;;;;0 / 0;492007;2018-04-04 20:35:34:573
0.5309;0.2137;9.432;0.0;;;;NaN;;;;0 / 0;492506;2018-04-04 20:35:35:072
1.0319;0.337;9.7378;0.0;;;;NaN;;;;0 / 0;493006;2018-04-04 20:35:35:572
0.595;0.911;9.663;0.0;;;;NaN;;;;0 / 0;493507;2018-04-04 20:35:36:073
0.9391;1.3892;9.4972;0.0;;;;NaN;;;;0 / 0;494006;2018-04-04 20:35:36:572
0.5393;0.5016;9.6013;0.0;;;;NaN;;;;0 / 0;494507;2018-04-04 20:35:37:073
-0.1006;0.3077;9.6355;0.0;;;;NaN;;;;0 / 0;495007;2018-04-04 20:35:37:573
0.2771;-0.0186;9.7474;0.0;;;;NaN;;;;0 / 0;495507;2018-04-04 20:35:38:073
1.0032;0.2221;9.5205;0.0;;;;NaN;;;;0 / 0;496006;2018-04-04 20:35:38:572
0.4489;1.0421;9.4122;0.0;;;;NaN;;;;0 / 0;496506;2018-04-04 20:35:39:072
-0.1945;0.3837;9.675;0.0;;;;NaN;;;;0 / 0;497007;2018-04-04 20:35:39:573
0.4812;0.3956;8.0834;0.0;;;;NaN;;;;0 / 0;497506;2018-04-04 20:35:40:072
0.4705;0.2125;9.7121;0.0;;;;NaN;;;;0 / 0;498007;2018-04-04 20:35:40:573
0.4477;-0.0126;9.5972;0.0;;;;NaN;;;;0 / 0;498506;2018-04-04 20:35:41:072
0.659;0.726;9.6169;0.0;;;;NaN;;;;0 / 0;499007;2018-04-04 20:35:41:573
0.8709;0.8368;9.7163;0.0;;;;NaN;;;;0 / 0;499506;2018-04-04 20:35:42:072
0.8434;0.8936;9.8162;0.0;;;;NaN;;;;0 / 0;500006;2018-04-04 20:35:42:572
0.7482;0.5303;9.6319;0.0;;;;NaN;;;;0 / 0;500507;2018-04-04 20:35:43:073
-0.176;0.4268;9.4326;0.0;;;;NaN;;;;0 / 0;501006;2018-04-04 20:35:43:572
0.1323;0.425;9.8126;0.0;;;;NaN;;;;0 / 0;501506;2018-04-04 20:35:44:072
0.267;0.9379;9.6409;0.0;;;;NaN;;;;0 / 0;502006;2018-04-04 20:35:44:572
0.6782;0.8338;9.6253;0.0;;;;NaN;;;;0 / 0;502506;2018-04-04 20:35:45:072
0.7326;1.4377;9.748;0.0;;;;NaN;;;;0 / 0;503007;2018-04-04 20:35:45:573
0.7596;0.8978;9.6211;0.0;;;;NaN;;;;0 / 0;503507;2018-04-04 20:35:46:073
0.4543;0.7171;9.5002;0.0;;;;NaN;;;;0 / 0;504006;2018-04-04 20:35:46:572
0.4507;0.4148;9.7516;0.0;;;;NaN;;;;0 / 0;504506;2018-04-04 20:35:47:072
0.58;0.7823;9.7235;0.0;;;;NaN;;;;0 / 0;505007;2018-04-04 20:35:47:573
-0.5171;0.4633;9.9467;0.0;;;;NaN;;;;0 / 0;505506;2018-04-04 20:35:48:072
0.3962;0.4717;9.5451;0.0;;;;NaN;;;;0 / 0;506007;2018-04-04 20:35:48:573
0.6937;1.3036;9.7444;0.0;;;;NaN;;;;0 / 0;506506;2018-04-04 20:35:49:072
0.4375;1.0606;9.6792;0.0;;;;NaN;;;;0 / 0;507007;2018-04-04 20:35:49:573
0.0383;0.2322;9.6091;0.0;;;;NaN;;;;0 / 0;507506;2018-04-04 20:35:50:072
