sep=;;;;;;;;;;;;;;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);PROXIMITY (i);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.6776;1.0989;9.9288;3.1;44.096;NaN;0 / 0;714016;2018-04-04 20:39:23:662;;;;;;
-0.5088;1.0451;9.979;3.1;33.973;NaN;0 / 0;714516;2018-04-04 20:39:24:162;;;;;;
-0.5578;1.0259;9.7911;3.1;31.71;NaN;0 / 0;715016;2018-04-04 20:39:24:662;;;;;;
-0.735;1.1444;9.7145;3.1;31.494;NaN;0 / 0;715516;2018-04-04 20:39:25:162;;;;;;
-0.8045;1.1001;9.7336;3.1;35.938;NaN;0 / 0;716016;2018-04-04 20:39:25:662;;;;;;
-0.8272;1.0762;9.748;3.1;36.607;NaN;0 / 0;716516;2018-04-04 20:39:26:162;;;;;;
-0.7135;1.0882;9.8138;3.1;33.148;NaN;0 / 0;717016;2018-04-04 20:39:26:662;;;;;;
-0.6057;1.1504;9.8569;3.1;32.532;NaN;0 / 0;717515;2018-04-04 20:39:27:161;;;;;;
-0.5734;1.1349;9.9395;3.1;37.09;NaN;0 / 0;718016;2018-04-04 20:39:27:662;;;;;;
-0.7099;1.1097;9.827;3.1;32.736;NaN;0 / 0;718516;2018-04-04 20:39:28:162;;;;;;
-0.8511;1.0738;9.5876;3.1;47.113;NaN;0 / 0;719016;2018-04-04 20:39:28:662;;;;;;
-0.8152;1.1169;9.7803;3.1;32.443;NaN;0 / 0;719516;2018-04-04 20:39:29:162;;;;;;
-0.7147;1.1648;9.8785;3.1;45.937;NaN;0 / 0;720016;2018-04-04 20:39:29:662;;;;;;
-0.6153;1.1768;9.8138;3.1;53.431;NaN;0 / 0;720515;2018-04-04 20:39:30:161;;;;;;
-0.5351;1.0965;9.8701;3.1;52.469;NaN;0 / 0;721016;2018-04-04 20:39:30:662;;;;;;
-0.5028;1.063;9.8019;3.1;36.659;NaN;0 / 0;721516;2018-04-04 20:39:31:162;;;;;;
-0.6105;1.1061;9.6594;3.1;35.995;NaN;0 / 0;722016;2018-04-04 20:39:31:662;;;;;;
-0.7027;1.0989;9.669;3.1;49.545;NaN;0 / 0;722516;2018-04-04 20:39:32:162;;;;;;
-0.7254;1.1504;9.8521;3.1;48.388;NaN;0 / 0;723016;2018-04-04 20:39:32:662;;;;;;
-0.5231;1.1085;9.8402;3.1;39.409;NaN;0 / 0;723516;2018-04-04 20:39:33:162;;;;;;
-0.3184;1.0331;9.754;3.1;36.817;NaN;0 / 0;724015;2018-04-04 20:39:33:661;;;;;;
-0.2885;1.0606;9.833;3.1;35.331;NaN;0 / 0;724516;2018-04-04 20:39:34:162;;;;;;
-0.431;1.1624;9.8869;3.1;32.547;NaN;0 / 0;725016;2018-04-04 20:39:34:662;;;;;;
-0.6021;1.1408;9.8031;3.1;35.056;NaN;0 / 0;725516;2018-04-04 20:39:35:162;;;;;;
-0.7386;1.1061;9.6546;3.1;40.681;NaN;0 / 0;726016;2018-04-04 20:39:35:662;;;;;;
-0.6979;1.1337;9.7133;3.1;48.059;NaN;0 / 0;726515;2018-04-04 20:39:36:161;;;;;;
-0.5136;1.1145;9.8533;3.1;50.466;NaN;0 / 0;727016;2018-04-04 20:39:36:662;;;;;;
-0.3029;1.0511;9.8354;3.1;52.502;NaN;0 / 0;727516;2018-04-04 20:39:37:162;;;;;;
-0.3412;1.093;9.748;3.1;44.546;NaN;0 / 0;728016;2018-04-04 20:39:37:662;;;;;;
-0.4465;1.1265;9.8186;3.1;44.537;NaN;0 / 0;728516;2018-04-04 20:39:38:162;;;;;;
-0.5818;1.1097;9.7779;3.1;53.511;NaN;0 / 0;729015;2018-04-04 20:39:38:661;;;;;;
-0.5806;1.1217;9.7636;3.1;47.229;NaN;0 / 0;729516;2018-04-04 20:39:39:162;;;;;;
-0.3807;1.148;9.8545;3.1;58.048;NaN;0 / 0;730016;2018-04-04 20:39:39:662;;;;;;
-0.3807;1.1169;9.9192;3.1;35.795;NaN;0 / 0;730516;2018-04-04 20:39:40:162;;;;;;
-0.31;1.1073;9.8258;3.1;35.856;NaN;0 / 0;731016;2018-04-04 20:39:40:662;;;;;;
-0.3484;1.081;9.7288;3.1;41.194;NaN;0 / 0;731515;2018-04-04 20:39:41:161;;;;;;
-0.5148;1.1588;9.8474;3.1;44.335;NaN;0 / 0;732016;2018-04-04 20:39:41:662;;;;;;
-0.7398;1.1732;9.8821;3.1;37.327;NaN;0 / 0;732516;2018-04-04 20:39:42:162;;;;;;
-0.9864;1.1899;9.5864;3.1;44.027;NaN;0 / 0;733016;2018-04-04 20:39:42:662;;;;;;
-0.8116;1.2522;9.7133;3.1;43.562;NaN;0 / 0;733516;2018-04-04 20:39:43:162;;;;;;
-0.6177;1.221;9.8593;3.1;36.487;NaN;0 / 0;734016;2018-04-04 20:39:43:662;;;;;;
-0.6381;1.2534;9.8306;3.1;40.38;NaN;0 / 0;734516;2018-04-04 20:39:44:162;;;;;;
-0.662;1.1564;9.8474;3.1;38.743;NaN;0 / 0;735016;2018-04-04 20:39:44:662;;;;;;
-0.7518;1.1935;9.7205;3.1;32.986;NaN;0 / 0;735516;2018-04-04 20:39:45:162;;;;;;
-1.0618;1.3036;9.7324;3.1;36.815;NaN;0 / 0;736016;2018-04-04 20:39:45:662;;;;;;
-1.1588;1.3144;9.7791;3.1;33.889;NaN;0 / 0;736516;2018-04-04 20:39:46:162;;;;;;
-1.0008;1.2019;9.6343;3.1;42.413;NaN;0 / 0;737016;2018-04-04 20:39:46:662;;;;;;
-0.7242;1.1396;9.7408;3.1;39.244;NaN;0 / 0;737516;2018-04-04 20:39:47:162;;;;;;
-0.5219;1.2318;9.918;3.1;34.212;NaN;0 / 0;738016;2018-04-04 20:39:47:662;;;;;;
-0.6153;1.3012;9.9707;3.1;35.971;NaN;0 / 0;738516;2018-04-04 20:39:48:162;;;;;;
-0.9601;1.2055;9.6271;3.1;39.194;NaN;0 / 0;739016;2018-04-04 20:39:48:662;;;;;;
-1.227;1.1851;9.4367;3.1;44.414;NaN;0 / 0;739516;2018-04-04 20:39:49:162;;;;;;
-1.087;1.3072;9.8701;3.1;43.689;NaN;0 / 0;740016;2018-04-04 20:39:49:662;;;;;;
-0.8212;1.3001;9.997;3.1;44.57;NaN;0 / 0;740516;2018-04-04 20:39:50:162;;;;;;
-0.6165;1.1372;9.7648;3.1;37.905;NaN;0 / 0;741016;2018-04-04 20:39:50:662;;;;;;
-0.6452;1.1492;9.7624;3.1;38.967;NaN;0 / 0;741516;2018-04-04 20:39:51:162;;;;;;
-0.7793;1.2055;9.8677;3.1;42.25;NaN;0 / 0;742016;2018-04-04 20:39:51:662;;;;;;
-0.9409;1.2426;9.8378;3.1;45.717;NaN;0 / 0;742516;2018-04-04 20:39:52:162;;;;;;
-1.0475;1.1875;9.7109;3.1;39.167;NaN;0 / 0;743016;2018-04-04 20:39:52:662;;;;;;
-0.9673;1.1528;9.6726;3.1;40.007;NaN;0 / 0;743515;2018-04-04 20:39:53:161;;;;;;
-0.7386;1.2091;9.8821;3.1;34.957;NaN;0 / 0;744016;2018-04-04 20:39:53:662;;;;;;
-0.6069;1.2426;10.0365;3.1;41.912;NaN;0 / 0;744516;2018-04-04 20:39:54:162;;;;;;
-0.6345;1.1791;9.7971;3.1;41.242;NaN;0 / 0;745016;2018-04-04 20:39:54:662;;;;;;
-0.8763;1.1696;9.6127;3.1;42.89;NaN;0 / 0;745516;2018-04-04 20:39:55:162;;;;;;
-1.0594;1.2354;9.7252;3.1;44.325;NaN;0 / 0;746016;2018-04-04 20:39:55:662;;;;;;
-1.002;1.2222;9.8055;3.1;37.591;NaN;0 / 0;746516;2018-04-04 20:39:56:162;;;;;;
-0.7626;1.2785;9.839;3.1;52.524;NaN;0 / 0;747016;2018-04-04 20:39:56:662;;;;;;
-0.6381;1.2366;9.821;3.1;40.064;NaN;0 / 0;747516;2018-04-04 20:39:57:162;;;;;;
-0.6632;1.2019;9.578;3.1;34.483;NaN;0 / 0;748015;2018-04-04 20:39:57:661;;;;;;
0.0096;2.3655;11.6238;3.1;50.108;NaN;0 / 0;748516;2018-04-04 20:39:58:162;;;;;;
-4.0043;8.1858;2.5618;3.1;58.7;NaN;0 / 0;749016;2018-04-04 20:39:58:662;;;;;;
-0.4992;9.8749;2.5007;3.1;45.225;NaN;0 / 0;749516;2018-04-04 20:39:59:162;;;;;;
-2.1261;8.6203;3.3495;0;61.109;NaN;0 / 0;750016;2018-04-04 20:39:59:662;;;;;;
2.7102;7.8937;5.0206;3.1;55.085;NaN;0 / 0;750516;2018-04-04 20:40:00:162;;;;;;
0.3962;-1.3958;8.9052;3.1;63.89;NaN;0 / 0;751016;2018-04-04 20:40:00:662;;;;;;
-3.9181;-1.5981;9.566;3.1;47.92;NaN;0 / 0;751516;2018-04-04 20:40:01:162;;;;;;
-2.8455;-1.4293;2.7066;3.1;54.29;NaN;0 / 0;752016;2018-04-04 20:40:01:662;;;;;;
-1.1492;-9.4643;5.2194;3.1;55.649;NaN;0 / 0;752516;2018-04-04 20:40:02:162;;;;;;
7.8494;-2.3343;6.183;3.1;47.578;NaN;0 / 0;753016;2018-04-04 20:40:02:662;;;;;;
5.3941;-2.6037;7.0545;3.1;45.615;NaN;0 / 0;753515;2018-04-04 20:40:03:161;;;;;;
3.7146;-0.6752;9.8138;3.1;50.886;NaN;0 / 0;754016;2018-04-04 20:40:03:662;;;;;;
-1.1037;1.4832;9.183;3.1;44.878;NaN;0 / 0;754515;2018-04-04 20:40:04:161;;;;;;
-2.3451;4.8207;8.0996;3.1;48.846;NaN;0 / 0;755016;2018-04-04 20:40:04:662;;;;;;
-2.46;4.3227;9.0297;3.1;47.279;NaN;0 / 0;755516;2018-04-04 20:40:05:162;;;;;;
-1.7011;4.7178;7.9942;3.1;40.447;NaN;0 / 0;756016;2018-04-04 20:40:05:662;;;;;;
-1.2905;4.4173;9.0046;3.1;40.026;NaN;0 / 0;756515;2018-04-04 20:40:06:161;;;;;;
-1.6161;4.5466;8.8442;3.1;40.018;NaN;0 / 0;757016;2018-04-04 20:40:06:662;;;;;;
-1.7526;4.2078;8.8214;3.1;38.684;NaN;0 / 0;757515;2018-04-04 20:40:07:161;;;;;;
-1.5167;4.0833;8.7819;3.1;38.828;NaN;0 / 0;758016;2018-04-04 20:40:07:662;;;;;;
-1.1121;2.9532;9.4308;3.1;43.384;NaN;0 / 0;758516;2018-04-04 20:40:08:162;;;;;;
-1.1097;2.715;9.159;3.1;42.469;NaN;0 / 0;759016;2018-04-04 20:40:08:662;;;;;;
-1.3898;2.0877;9.505;3.1;42.78;NaN;0 / 0;759516;2018-04-04 20:40:09:162;;;;;;
-1.9872;2.8096;9.1889;3.1;42.098;NaN;0 / 0;760016;2018-04-04 20:40:09:662;;;;;;
-2.32;3.1711;9.0597;3.1;43.57;NaN;0 / 0;760516;2018-04-04 20:40:10:162;;;;;;
-1.9166;3.1819;9.2237;3.1;39.54;NaN;0 / 0;761015;2018-04-04 20:40:10:661;;;;;;
-1.6891;3.292;8.9974;3.1;40.892;NaN;0 / 0;761516;2018-04-04 20:40:11:162;;;;;;
-1.4329;2.9736;9.2356;3.1;44.109;NaN;0 / 0;762016;2018-04-04 20:40:11:662;;;;;;
-1.7873;3.1137;9.3314;3.1;39.241;NaN;0 / 0;762516;2018-04-04 20:40:12:162;;;;;;
-1.1337;2.8024;9.4403;3.1;39.702;NaN;0 / 0;763016;2018-04-04 20:40:12:662;;;;;;
-0.9146;3.1005;9.092;3.1;41.4;NaN;0 / 0;763516;2018-04-04 20:40:13:162;;;;;;
-1.2582;2.9532;9.3889;3.1;38.742;NaN;0 / 0;764015;2018-04-04 20:40:13:661;;;;;;
0.1927;3.1675;9.2536;3.1;38.739;NaN;0 / 0;764516;2018-04-04 20:40:14:162;;;;;;
-2.1691;1.221;9.1746;3.1;45.198;NaN;0 / 0;765016;2018-04-04 20:40:14:662;;;;;;
-0.231;2.4397;9.5253;3.1;37.788;NaN;0 / 0;765516;2018-04-04 20:40:15:162;;;;;;
-0.419;2.0435;9.6283;3.1;36.543;NaN;0 / 0;766015;2018-04-04 20:40:15:661;;;;;;
-0.2574;2.3715;9.1985;3.1;41.9;NaN;0 / 0;766516;2018-04-04 20:40:16:162;;;;;;
-0.2909;3.6452;9.2177;3.1;42.331;NaN;0 / 0;767016;2018-04-04 20:40:16:662;;;;;;
-0.7853;3.6368;9.1734;3.1;47.263;NaN;0 / 0;767516;2018-04-04 20:40:17:162;;;;;;
0.4166;2.0638;8.6203;3.1;41.648;NaN;0 / 0;768016;2018-04-04 20:40:17:662;;;;;;
0.9804;2.6264;9.3326;3.1;46.015;NaN;0 / 0;768516;2018-04-04 20:40:18:162;;;;;;
0.5124;2.5941;9.4966;3.1;38.424;NaN;0 / 0;769016;2018-04-04 20:40:18:662;;;;;;
0.7003;2.4493;9.4715;3.1;42.253;NaN;0 / 0;769516;2018-04-04 20:40:19:162;;;;;;
0.103;1.9848;9.6786;3.1;49.905;NaN;0 / 0;770015;2018-04-04 20:40:19:661;;;;;;
-0.5351;2.2877;9.6067;3.1;42.127;NaN;0 / 0;770516;2018-04-04 20:40:20:162;;;;;;
-0.3496;2.0123;9.663;3.1;39.215;NaN;0 / 0;771015;2018-04-04 20:40:20:661;;;;;;
-0.5423;2.2757;9.4068;3.1;46.663;NaN;0 / 0;771516;2018-04-04 20:40:21:162;;;;;;
-3.6188;2.059;8.679;3.1;63.47;NaN;0 / 0;772016;2018-04-04 20:40:21:662;;;;;;
-0.6201;1.1612;8.1678;3.1;55.644;NaN;0 / 0;772516;2018-04-04 20:40:22:162;;;;;;
-7.0186;0.4298;8.8861;3.1;41.297;NaN;0 / 0;773016;2018-04-04 20:40:22:662;;;;;;
-3.4393;-2.3104;9.4942;3.1;62.059;NaN;0 / 0;773516;2018-04-04 20:40:23:162;;;;;;
-0.4908;-1.5574;10.2376;3.1;50.887;NaN;0 / 0;774016;2018-04-04 20:40:23:662;;;;;;
-0.4944;0.1197;9.7971;3.1;66.717;NaN;0 / 0;774516;2018-04-04 20:40:24:162;;;;;;
-0.3663;0.0946;9.8402;3.1;37.891;NaN;0 / 0;775015;2018-04-04 20:40:24:661;;;;;;
-0.3926;0.0311;9.9419;3.1;36.731;NaN;0 / 0;775516;2018-04-04 20:40:25:162;;;;;;
-0.4298;0.0766;9.9228;3.1;56.296;NaN;0 / 0;776016;2018-04-04 20:40:25:662;;;;;;
-0.5064;0.0766;9.8893;3.1;49.809;NaN;0 / 0;776516;2018-04-04 20:40:26:162;;;;;;
-0.4477;0.0311;9.7827;3.1;62.82;NaN;0 / 0;777016;2018-04-04 20:40:26:662;;;;;;
-0.5076;0.0335;9.8701;3.1;48.751;NaN;0 / 0;777516;2018-04-04 20:40:27:162;;;;;;
-0.5171;0.0766;9.8653;3.1;50.349;NaN;0 / 0;778016;2018-04-04 20:40:27:662;;;;;;
-0.4896;0.0982;9.7085;3.1;34.636;NaN;0 / 0;778516;2018-04-04 20:40:28:162;;;;;;
-0.5782;0.0359;9.924;3.1;35.133;NaN;0 / 0;779016;2018-04-04 20:40:28:662;;;;;;
-0.68;-0.0072;10.009;3.1;35.399;NaN;0 / 0;779516;2018-04-04 20:40:29:162;;;;;;
-0.6093;0.0395;9.8462;3.1;35.037;NaN;0 / 0;780015;2018-04-04 20:40:29:661;;;;;;
-0.4896;0.1018;9.7755;3.1;34.358;NaN;0 / 0;780516;2018-04-04 20:40:30:162;;;;;;
-0.4453;0.0156;9.8462;3.1;52.154;NaN;0 / 0;781016;2018-04-04 20:40:30:662;;;;;;
-0.4465;0.0407;9.9;3.1;50.195;NaN;0 / 0;781516;2018-04-04 20:40:31:162;;;;;;
-0.5483;0.097;9.845;3.1;55.146;NaN;0 / 0;782015;2018-04-04 20:40:31:661;;;;;;
-0.5602;0.0144;9.9;3.1;60.257;NaN;0 / 0;782516;2018-04-04 20:40:32:162;;;;;;
-0.5986;-0.0108;9.894;3.1;45.826;NaN;0 / 0;783016;2018-04-04 20:40:32:662;;;;;;
-0.6249;0.0527;9.8928;3.1;33.69;NaN;0 / 0;783516;2018-04-04 20:40:33:162;;;;;;
-0.6823;0.097;9.9072;3.1;37.749;NaN;0 / 0;784016;2018-04-04 20:40:33:662;;;;;;
-0.5866;0.0132;9.7803;3.1;37.78;NaN;0 / 0;784515;2018-04-04 20:40:34:161;;;;;;
-0.4944;-0.0084;9.8186;3.1;32.975;NaN;0 / 0;785016;2018-04-04 20:40:34:662;;;;;;
-0.504;0.0383;9.9012;3.1;33.016;NaN;0 / 0;785516;2018-04-04 20:40:35:162;;;;;;
-0.5818;0.0575;9.8162;3.1;34.017;NaN;0 / 0;786016;2018-04-04 20:40:35:662;;;;;;
-0.6608;0.0144;9.7588;3.1;35.241;NaN;0 / 0;786515;2018-04-04 20:40:36:161;;;;;;
-0.6764;0.0239;9.9108;3.1;34.956;NaN;0 / 0;787016;2018-04-04 20:40:36:662;;;;;;
-0.6369;0.0275;10.0317;3.1;31.712;NaN;0 / 0;787516;2018-04-04 20:40:37:162;;;;;;
-0.577;0.0575;9.827;3.1;31.522;NaN;0 / 0;788016;2018-04-04 20:40:37:662;;;;;;
-0.4741;0.0359;9.5828;3.1;33.742;NaN;0 / 0;788515;2018-04-04 20:40:38:161;;;;;;
-0.5507;-0.006;9.9659;3.1;31.48;NaN;0 / 0;789016;2018-04-04 20:40:38:662;;;;;;
-0.6081;-0.0072;10.0305;3.1;32.414;NaN;0 / 0;789516;2018-04-04 20:40:39:162;;;;;;
-0.6213;0.079;9.8067;3.1;34.952;NaN;0 / 0;790016;2018-04-04 20:40:39:662;;;;;;
-0.6069;0.0383;9.8402;3.1;31.531;NaN;0 / 0;790516;2018-04-04 20:40:40:162;;;;;;
-0.6428;0.0108;9.9012;3.1;34.351;NaN;0 / 0;791015;2018-04-04 20:40:40:661;;;;;;
-0.6416;0.0551;9.8126;3.1;32.433;NaN;0 / 0;791516;2018-04-04 20:40:41:162;;;;;;
-0.516;0.018;9.8605;3.1;32.336;NaN;0 / 0;792016;2018-04-04 20:40:41:662;;;;;;
-0.5243;0.0108;9.9527;3.1;34.698;NaN;0 / 0;792516;2018-04-04 20:40:42:162;;;;;;
-0.5578;0.0419;9.8306;3.1;34.585;NaN;0 / 0;793016;2018-04-04 20:40:42:662;;;;;;
-0.595;0.085;9.8019;3.1;34.601;NaN;0 / 0;793515;2018-04-04 20:40:43:161;;;;;;
-0.6416;0.0371;9.8773;3.1;32.074;NaN;0 / 0;794016;2018-04-04 20:40:43:662;;;;;;
-0.6572;-0.0144;9.918;3.1;31.876;NaN;0 / 0;794515;2018-04-04 20:40:44:161;;;;;;
-0.5327;0.0383;9.8055;3.1;36.242;NaN;0 / 0;795016;2018-04-04 20:40:44:662;;;;;;
-0.4597;0.0862;9.6989;3.1;32.036;NaN;0 / 0;795516;2018-04-04 20:40:45:162;;;;;;
-0.5339;0.0215;9.9156;3.1;32.096;NaN;0 / 0;796016;2018-04-04 20:40:45:662;;;;;;
-0.6345;-0.0024;9.9335;3.1;31.922;NaN;0 / 0;796515;2018-04-04 20:40:46:161;;;;;;
-0.6009;0.0227;9.8126;3.1;32.571;NaN;0 / 0;797016;2018-04-04 20:40:46:662;;;;;;
-0.5567;0.0467;9.7911;3.1;33.723;NaN;0 / 0;797516;2018-04-04 20:40:47:162;;;;;;
-0.5387;0.0431;9.8246;3.1;55.499;NaN;0 / 0;798016;2018-04-04 20:40:47:662;;;;;;
-0.5555;0.0108;9.9575;3.1;38.42;NaN;0 / 0;798516;2018-04-04 20:40:48:162;;;;;;
-0.5962;0.0132;9.9192;3.1;37.9;NaN;0 / 0;799016;2018-04-04 20:40:48:662;;;;;;
-0.5255;0.0599;9.742;3.1;38.826;NaN;0 / 0;799516;2018-04-04 20:40:49:162;;;;;;
-0.5375;0.0419;9.7815;3.1;42.424;NaN;0 / 0;800016;2018-04-04 20:40:49:662;;;;;;
-0.595;0.0048;9.9395;3.1;58.748;NaN;0 / 0;800516;2018-04-04 20:40:50:162;;;;;;
-0.6776;0.0275;9.9371;3.1;31.606;NaN;0 / 0;801016;2018-04-04 20:40:50:662;;;;;;
-0.5267;0.079;9.8067;3.1;52.544;NaN;0 / 0;801516;2018-04-04 20:40:51:162;;;;;;
-0.5171;0.0383;9.8138;3.1;44.413;NaN;0 / 0;802016;2018-04-04 20:40:51:662;;;;;;
-0.5076;0.0251;9.8617;3.1;32.587;NaN;0 / 0;802516;2018-04-04 20:40:52:162;;;;;;
-0.492;-0.0072;9.8521;3.1;31.762;NaN;0 / 0;803015;2018-04-04 20:40:52:661;;;;;;
-0.5519;0.0634;9.8007;3.1;32.273;NaN;0 / 0;803516;2018-04-04 20:40:53:162;;;;;;
-0.6057;0.0718;9.8629;3.1;32.437;NaN;0 / 0;804016;2018-04-04 20:40:53:662;;;;;;
-0.6668;0.0227;9.918;3.1;44.725;NaN;0 / 0;804516;2018-04-04 20:40:54:162;;;;;;
-0.6931;0.0347;9.7528;3.1;42.265;NaN;0 / 0;805016;2018-04-04 20:40:54:662;;;;;;
-0.6943;0.0575;9.8258;3.1;32.369;NaN;0 / 0;805515;2018-04-04 20:40:55:161;;;;;;
-0.6692;0.0359;10.0042;3.1;42.488;NaN;0 / 0;806016;2018-04-04 20:40:55:662;;;;;;
-0.5806;0.0287;9.8665;3.1;37.936;NaN;0 / 0;806516;2018-04-04 20:40:56:162;;;;;;
-0.4585;0.0251;9.7767;3.1;32.682;NaN;0 / 0;807016;2018-04-04 20:40:56:662;;;;;;
-0.48;0.0611;9.8916;3.1;31.943;NaN;0 / 0;807516;2018-04-04 20:40:57:162;;;;;;
-0.6847;0.0862;9.7959;3.1;37.778;NaN;0 / 0;808016;2018-04-04 20:40:57:662;;;;;;
-0.7123;0.0287;9.8545;3.1;34.971;NaN;0 / 0;808516;2018-04-04 20:40:58:162;;;;;;
-0.7063;0.0443;9.8785;3.1;35.466;NaN;0 / 0;809015;2018-04-04 20:40:58:661;;;;;;
-0.7015;0.073;9.8282;3.1;33.583;NaN;0 / 0;809516;2018-04-04 20:40:59:162;;;;;;
-0.6357;0.097;9.8162;3.1;35.364;NaN;0 / 0;810016;2018-04-04 20:40:59:662;;;;;;
-0.5052;0.0599;9.8569;3.1;32.814;NaN;0 / 0;810516;2018-04-04 20:41:00:162;;;;;;
-0.4609;0.0299;9.9443;3.1;47.59;NaN;0 / 0;811016;2018-04-04 20:41:00:662;;;;;;
-0.5866;0.0742;9.8067;3.1;47.066;NaN;0 / 0;811515;2018-04-04 20:41:01:161;;;;;;
-0.5997;0.1089;9.8557;3.1;51.003;NaN;0 / 0;812016;2018-04-04 20:41:01:662;;;;;;
-0.6153;0.0503;9.9048;3.1;47.7;NaN;0 / 0;812516;2018-04-04 20:41:02:162;;;;;;
-0.4477;0.097;9.7983;3.1;46.325;NaN;0 / 0;813016;2018-04-04 20:41:02:662;;;;;;
-0.4968;0.0982;9.8581;3.1;50.013;NaN;0 / 0;813516;2018-04-04 20:41:03:162;;;;;;
-0.5519;0.085;9.8677;3.1;35.68;NaN;0 / 0;814016;2018-04-04 20:41:03:662;;;;;;
-0.516;0.1245;9.7456;3.1;42.233;NaN;0 / 0;814516;2018-04-04 20:41:04:162;;;;;;
-0.5698;0.0215;9.7887;3.1;39.788;NaN;0 / 0;815016;2018-04-04 20:41:04:662;;;;;;
-0.668;0.079;10.1239;3.1;42.738;NaN;0 / 0;815516;2018-04-04 20:41:05:162;;;;;;
-0.6835;0.182;9.8078;3.1;49.887;NaN;0 / 0;816016;2018-04-04 20:41:05:662;;;;;;
-0.6608;0.1257;9.6115;3.1;44.175;NaN;0 / 0;816516;2018-04-04 20:41:06:162;;;;;;
-0.5279;-0.0958;9.9623;3.1;42.858;NaN;0 / 0;817016;2018-04-04 20:41:06:662;;;;;;
-0.5243;-0.0611;10.0018;3.1;40.018;NaN;0 / 0;817515;2018-04-04 20:41:07:161;;;;;;
-0.5734;0.1065;9.6355;3.1;48.458;NaN;0 / 0;818016;2018-04-04 20:41:07:662;;;;;;
-0.6572;0.1006;9.7025;3.1;41.229;NaN;0 / 0;818516;2018-04-04 20:41:08:162;;;;;;
-0.6165;-0.0215;10.0556;3.1;35.769;NaN;0 / 0;819015;2018-04-04 20:41:08:661;;;;;;
-0.6416;-0.0156;9.9132;3.1;33.184;NaN;0 / 0;819516;2018-04-04 20:41:09:162;;;;;;
-0.5375;0.079;9.6989;3.1;46.746;NaN;0 / 0;820016;2018-04-04 20:41:09:662;;;;;;
-0.4812;0.0778;9.7241;3.1;53.306;NaN;0 / 0;820516;2018-04-04 20:41:10:162;;;;;;
-0.6333;0.0036;9.9347;3.1;48.155;NaN;0 / 0;821016;2018-04-04 20:41:10:662;;;;;;
-0.7793;0.0287;9.8186;3.1;43.965;NaN;0 / 0;821515;2018-04-04 20:41:11:161;;;;;;
-0.832;0.1532;9.742;3.1;40.763;NaN;0 / 0;822016;2018-04-04 20:41:11:662;;;;;;
-0.7302;0.0395;9.8569;3.1;37.746;NaN;0 / 0;822516;2018-04-04 20:41:12:162;;;;;;
-0.9469;0.0395;9.9683;3.1;38.962;NaN;0 / 0;823016;2018-04-04 20:41:12:662;;;;;;
-1.1133;0.1065;9.8857;3.1;39.492;NaN;0 / 0;823516;2018-04-04 20:41:13:162;;;;;;
-1.2127;0.1939;9.7767;3.1;48.712;NaN;0 / 0;824016;2018-04-04 20:41:13:662;;;;;;
-1.154;0.1927;10.2292;3.1;42.916;NaN;0 / 0;824516;2018-04-04 20:41:14:162;;;;;;
-0.8475;0.0407;9.7839;3.1;56.871;NaN;0 / 0;825016;2018-04-04 20:41:14:662;;;;;;
-0.8811;0.1568;9.9419;3.1;38.07;NaN;0 / 0;825516;2018-04-04 20:41:15:162;;;;;;
-1.0523;0.1772;9.8737;3.1;38.553;NaN;0 / 0;826016;2018-04-04 20:41:15:662;;;;;;
-1.1708;0.1796;9.7743;3.1;42.919;NaN;0 / 0;826516;2018-04-04 20:41:16:162;;;;;;
-1.3695;0.164;9.9156;3.1;42.906;NaN;0 / 0;827016;2018-04-04 20:41:16:662;;;;;;
-1.5311;0.1652;9.8569;3.1;65.292;NaN;0 / 0;827516;2018-04-04 20:41:17:162;;;;;;
-1.3204;0.1832;9.7791;3.1;64.025;NaN;0 / 0;828016;2018-04-04 20:41:17:662;;;;;;
-1.1109;0.1425;9.8641;3.1;51.48;NaN;0 / 0;828516;2018-04-04 20:41:18:162;;;;;;
-1.057;0.1664;9.8426;3.1;43.789;NaN;0 / 0;829016;2018-04-04 20:41:18:662;;;;;;
-1.0044;0.1293;9.8078;3.1;36.349;NaN;0 / 0;829515;2018-04-04 20:41:19:161;;;;;;
-1.1899;0.1317;9.8378;3.1;37.113;NaN;0 / 0;830016;2018-04-04 20:41:19:662;;;;;;
-1.4006;0.17;9.8426;3.1;42.758;NaN;0 / 0;830516;2018-04-04 20:41:20:162;;;;;;
-1.6029;0.1317;9.8126;3.1;43.599;NaN;0 / 0;831016;2018-04-04 20:41:20:662;;;;;;
-1.4533;0.158;9.6738;3.1;45.863;NaN;0 / 0;831516;2018-04-04 20:41:21:162;;;;;;
-1.2677;0.1113;9.6726;3.1;44.415;NaN;0 / 0;832015;2018-04-04 20:41:21:661;;;;;;
-1.1552;0.0886;9.8713;3.1;44.332;NaN;0 / 0;832516;2018-04-04 20:41:22:162;;;;;;
