sep=;;;;;;;;;;;;;;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);PROXIMITY (i);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.7027;3.0059;9.5301;8;46.89;NaN;0 / 0;26516;2018-04-04 20:27:56:162;;;;;;
-0.6907;3.6129;9.2117;8;37.347;NaN;0 / 0;27016;2018-04-04 20:27:56:662;;;;;;
-0.7709;3.0694;9.3649;8;61.302;NaN;0 / 0;27516;2018-04-04 20:27:57:162;;;;;;
-0.7709;2.3511;9.6845;8;34.664;NaN;0 / 0;28016;2018-04-04 20:27:57:662;;;;;;
-0.9768;2.4205;9.5816;8;61.223;NaN;0 / 0;28516;2018-04-04 20:27:58:162;;;;;;
-0.7877;1.834;9.317;8;33.855;NaN;0 / 0;29016;2018-04-04 20:27:58:662;;;;;;
-0.9038;2.3679;9.6271;8;34.957;NaN;0 / 0;29515;2018-04-04 20:27:59:161;;;;;;
-0.7638;3.2238;9.3601;8;48.004;NaN;0 / 0;30016;2018-04-04 20:27:59:662;;;;;;
-0.9134;2.9688;9.3841;8;33.963;NaN;0 / 0;30516;2018-04-04 20:28:00:162;;;;;;
-0.6584;2.4469;9.7025;8;31.313;NaN;0 / 0;31015;2018-04-04 20:28:00:661;;;;;;
-0.4106;1.5838;9.7935;8;32.407;NaN;0 / 0;31515;2018-04-04 20:28:01:161;;;;;;
-0.1712;1.5095;9.4822;8;31.589;NaN;0 / 0;32016;2018-04-04 20:28:01:662;;;;;;
-0.2717;1.7645;9.5972;8;30.359;NaN;0 / 0;32516;2018-04-04 20:28:02:162;;;;;;
-0.0874;2.2075;9.8114;8;30.388;NaN;0 / 0;33015;2018-04-04 20:28:02:661;;;;;;
0.0108;2.3882;9.5517;8;31.123;NaN;0 / 0;33516;2018-04-04 20:28:03:162;;;;;;
-0.0599;2.387;9.4978;8;34.317;NaN;0 / 0;34016;2018-04-04 20:28:03:662;;;;;;
-0.158;2.071;9.8474;8;42.688;NaN;0 / 0;34516;2018-04-04 20:28:04:162;;;;;;
-0.2945;1.7358;9.7432;8;53.397;NaN;0 / 0;35015;2018-04-04 20:28:04:661;;;;;;
-0.1987;1.8675;9.4535;8;45.038;NaN;0 / 0;35516;2018-04-04 20:28:05:162;;;;;;
-0.067;2.3439;9.3685;8;63.027;NaN;0 / 0;36016;2018-04-04 20:28:05:662;;;;;;
-0.0168;2.6157;9.4511;8;30.576;NaN;0 / 0;36516;2018-04-04 20:28:06:162;;;;;;
0.0263;2.8467;9.596;8;51.513;NaN;0 / 0;37016;2018-04-04 20:28:06:662;;;;;;
0.0778;2.411;9.56;8;60.774;NaN;0 / 0;37516;2018-04-04 20:28:07:162;;;;;;
0.0491;2.0435;9.6043;8;49.512;NaN;0 / 0;38016;2018-04-04 20:28:07:662;;;;;;
-0.006;2.077;9.566;8;36.886;NaN;0 / 0;38516;2018-04-04 20:28:08:162;;;;;;
-0.0263;2.3655;9.3829;8;42.207;NaN;0 / 0;39016;2018-04-04 20:28:08:662;;;;;;
0.2251;2.7617;9.3793;8;37.69;NaN;0 / 0;39516;2018-04-04 20:28:09:162;;;;;;
0.4178;2.7988;9.5948;8;39.431;NaN;0 / 0;40016;2018-04-04 20:28:09:662;;;;;;
0.2921;2.6779;9.4798;8;61.137;NaN;0 / 0;40515;2018-04-04 20:28:10:161;;;;;;
0.0946;2.2637;9.4523;8;38.533;NaN;0 / 0;41016;2018-04-04 20:28:10:662;;;;;;
0.1077;1.9465;9.7767;8;46.508;NaN;0 / 0;41516;2018-04-04 20:28:11:162;;;;;;
0.1125;2.1703;9.5996;8;45.565;NaN;0 / 0;42016;2018-04-04 20:28:11:662;;;;;;
0.316;2.5043;9.5062;8;45.936;NaN;0 / 0;42516;2018-04-04 20:28:12:162;;;;;;
0.4357;2.6755;9.42;8;44.579;NaN;0 / 0;43016;2018-04-04 20:28:12:662;;;;;;
0.431;2.551;9.4559;8;46.656;NaN;0 / 0;43516;2018-04-04 20:28:13:162;;;;;;
